	Manufacturer	Model	Application(s)	Thrust (dry) [lbf]	Thrust (wet) [lbf]	SFC (dry) [lb/lbf hr]	SFC (wet) [lb/lbf hr]	Airflow (static) [lb/s]	OPR (static)	FPR (static)	BPR (static)	Thrust (cruise) [lbf]	SFC (cruise) [lb/lbf hr]	Cruise Speed [Mach]	Cruise Altitude [ft]	TIT [K]	Number Spools	Fan Stages	LPC Stages	HPC Stages	HPT Stages	IPT Stages	LPT Stages	Fan Diameter [in]	Length [in]	Width/Diameter [in]	Dry Weight [lb]
218	CFM	LEAP-1B28G06	737-8/-9	29,300													2	1	3	10	2		5		123.9		
219	CFM	LEAP-1B28B1G05	737-8/-9	29,300													2	1	3	10	2		5		123.9		
220	CFM	LEAP-1B28B1G06	737-8/-9	29,300													2	1	3	10	2		5		123.9		
221	CFM	LEAP-1B28B2		29,300													2	1	3	10	2		5		123.9		
222	CFM	LEAP-1B28B2C		28,000													2	1	3	10	2		5		123.9		
223	CFM	LEAP-1B28B3		29,300													2	1	3	10	2		5		123.9		
224	CFM	LEAP-1C28	C919 (proposed)	29,220													2	1	3	10	2		7		131		
225	CFM	LEAP-1C30	C919 (proposed)	30,830													2	1	3	10	2		7		131		
226	CFM	LEAP-1C30B1	C919 (proposed)	30,830													2	1	3	10	2		7		131		
227	Continental	Model 420	"(see Turbomeca Aspin
  II)"																								
228	Curtiss-Wright	TJ38																									
229	Curtiss-Wright	TJ70		53,200				600	9																		6,340
230	de Havilland	Ghost 50 Mk.1	Comet 1	5,000													1			1C	1				129	52.7	
231	de Havilland	Ghost 50 Mk.2	Comet 1A	5,020													1			1C	1				129	52.7	
232	de Havilland	Ghost 50 Mk.3															1			1C	1				129	52.7	
233	de Havilland	Ghost 50 Mk.4	Comet 1XB	5,500													1			1C	1				129	52.7	
234	Engine Alliance	GP7168	"747-500X/-600X (not
  produced)"	68,000				2000	42.3		7						2	1	3B	9	2		4		169	99	11,500
235	Engine Alliance	GP7172	"767-400ERX, (not
  produced)"	71,000													2	1	3B	9	2		4				
236	Engine Alliance	GP7268	(cancelled)	68,000					46		8						2	1	5B	9	2		6				
237	Engine Alliance	GP7270	A380-861	74,735					45.6		8.7	12,633		0.85	35,000		2	1	5B	9	2		6	116	185.8	123.7	14,798
238	Engine Alliance	GP7272		76,470					45.6		8.7						2	1	5B	9	2		6	116	185.8	123.7	14,798
239	Engine Alliance	GP7277	"A380-863F (not
  produced)"	80,290				2600	45.6		8.7	13,700		0.85	35,000		2	1	5B	9	2		6	116	185.8	123.7	14,798
240	Garrett	ATF3-6A-4C	Falcon 200	5,440				162	21.3		2.8						3	1	5	1C	1	3	2		102	33.6	1,165
241	Garrett	ATF3-??	"HFB 330 (not
  produced), Sabreliner 60 (candidate engine)"	4,050		0.44		140	17		3						3	1	5	1C	1	3	2				
242	Garrett	TFE731-2	"Falcon 10, Learjet
  31/31A, SA-28T"	3,500		0.504		113	13	1.54	2.66	755	0.815	0.8	40,000		2	1G	1C	4	1		3	28.2	49.7	39.4	743
243	Garrett	TFE731-2-2A	Learjet 35/36	3,500		0.504		113	13	1.54	2.66						2	1G	1C	4	1		3	28.2	49.7	39.4	743
244	Garrett	TFE731-2-2B	Learjet 35A/36A	3,500		0.504		113	13	1.54	2.66						2	1G	1C	4	1		3	28.2	49.7	39.4	743
245	Garrett	TFE731-2-2N	IA 63 NGA	3,500													2	1G	1C	4	1		3	28.2	49.7	39.4	743
246	Garrett	TFE731-2A-2A	K-8E	3,600													2	1G	1C	4	1		3	28.2	49.7	39.4	772
247	Garrett	TFE731-2B		3,500													2	1G	1C	4	1		3	28.2	49.7	39.4	773
248	Garrett	TFE731-2BR		3,650													2	1G	1C	4	1		3	28.2	49.7	39.4	773
249	Garrett	TFE731-2C		3,500													2	1G	1C	4	1		3	28.2	49.7	39.4	753
250	Garrett	TFE731-3	JetStar II	3,700		0.511		118	14.6	2.8	2.8	817	0.819	0.8	40,000		2	1G	1C	4	1		3	28.2	49.7	39.4	754
251	Garrett	TFE731-3-1C	Falcon 50	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	754
252	Garrett	TFE731-3-1D	Sabreliner 65	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	754
253	Garrett	TFE731-3-1G	1124 Westwind	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	754
254	Garrett	TFE731-3-1H	HS 125-600F	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	754
255	Garrett	TFE731-3-100S	Citation III	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	754
256	Garrett	TFE731-3A-2B	"Learjet
  55/55B/55C/55C-LR"	3,700		0.515		118	14.6	2.8	2.8	838	0.823	0.8	40,000		2	1G	1C	4	1		3	28.2	49.7	39.4	775
257	Garrett	TFE731-3A-300G	Astra, Astra SP	3,700				118	14.6	2.8	2.8						2	1G	1C	4	1		3	28.2	49.7	39.4	775
258	Garrett	TFE731-3AR		3,880													2	1G	1C	4	1		3	28.2	49.7	39.4	775
259	Garrett	TFE731-3B-100	Citation VI	3,650		0.507		118	14.4	2.8	2.8	844	0.816	0.8	40,000		2	1G	1C	4	1		3	28.2	49.7	39.4	769
260	Garrett	TFE731-3BR		3,850													2	1G	1C	4	1		3	28.2	49.7	39.4	769
261	Garrett	TFE731-3C		3,700													2	1G	1C	4	1		3	28.2	49.7	39.4	777
262	Garrett	TFE731-3CR		3,880													2	1G	1C	4	1		3	28.2	49.7	39.4	777
263	Garrett	TFE731-3D		3,700													2	1G	1C	4	1		3	28.2	49.7	39.4	767
264	Garrett	TFE731-3DR		3,880													2	1G	1C	4	1		3	28.2	49.7	39.4	767
265	Garrett	TFE731-3RH	HS 125-700A/B	3,880													2	1G	1C	4	1		3	28.2	49.7	39.4	754
266	Garrett	TFE731-4	Citation VII, Citation IV (not produced)	4,080		0.517			14.8		2.4	929	0.796	0.8	40,000		2	1G	1C	4	1		3	28.2	51	39.4	822
267	Garrett	TFE731-4R		4,080													2	1G	1C	4	1		3	28.2	49.7	39.4	822
268	Garrett	TFE731-5	"HS 125-800,
  Sabreliner 85"	4,304		0.484		143	14.4	3.48	3.65	955	0.802	0.8	40,000		2	1G	1C	4	1		3	29.7	54.7	40.5	852
269	Garrett	TFE731-5A		4,500													2	1G	1C	4	1		3				884
270	Garrett	TFE731-5AR	Falcon 20RE	4,500		0.469		143	14.6	3.48	3.65	986	0.771	0.8	40,000		2	1G	1C	4	1		3	29.7	80.8	40.5	884
271	Garrett	TFE731-5AR-1C	Falcon 900	4,500													2	1G	1C	4	1		3	29.7	80.8	40.5	884
272	Garrett	TFE731-5AR-2C	"Falcon
  20C-5/D-5/E-5/F-5"	4,500													2	1G	1C	4	1		3	29.7	80.8	40.5	884
273	Garrett	TFE731-5B		4,750													2	1G	1C	4	1		3				899
274	Garrett (Allied-Signal)	TFE731-5BR	"Falcon 20RE, Hawker
  750/800XP/850XP"	4,750		0.47		143	15.1	3.48	3.5	1,052	0.756	0.8	40,000		2	1G	1C	4	1		3	29.7	80.8	40.5	899
275	Garrett (Honeywell)	TFE731-5BR-1C	Falcon 900B/900C	4,750													2	1G	1C	4	1		3	29.7	80.8	40.5	899
276	Garrett (Honeywell)	TFE731-5BR-2C	"Falcon
  20C-5/D-5/E-5/F-5"	4,750													2	1G	1C	4	1		3	29.7	80.8	40.5	899
277	Garrett	TFE731-5R	Hawker 800	4,500													2	1G	1C	4	1		3				852
278	Garrett (AlliedSignal)	TFE731-20		3,500													2	1G	1C	4	1		3	28.2	51	39.4	895
279	Garrett (Honeywell)	TFE731-20AR	Learjet 40/45	3,650		0.441		123	21	3.7	3.1	876	0.728	0.8	40,000		2	1G	1C	4	1		3	28.2	51	39.4	895
280	Garrett (Honeywell)	TFE731-20BR	Learjet 40XR/45XR	3,500													2	1G	1C	4	1		3	28.2	51	39.4	
281	Garrett (AlliedSignal)	TFE731-20R		3,650													2	1G	1C	4	1		3	28.2	51	39.4	895
282	Garrett (AlliedSignal)	TFE731-40	"Falcon 50EX, Hawker
  450"	4,250		0.457		145	22		2.9						2	1G	1C	4	1		3	28.2	51	39.4	885
283	Garrett (AlliedSignal)	TFE731-40R-200G	"G100 (Astra SP),
  G150 (Astra SPX), IA 63 NGB"	4,462													2	1G	1C	4	1		3	28.2	51	39.4	885
284	Garrett (Honeywell)	TFE731-40AR-200G	G150	4,420													2	1G	1C	4	1		3	28.2	51	39.4	
285	Garrett (Honeywell)	TFE731-40BR	Learjet 70/75	3,850													2	1G	1C	4	1		3	28.2	51	39.4	
286	Garrett (Honeywell)	TFE731-50R	Hawker 900XP	4,750													2	1G	1C	4	1		3	28.2	51	39.4	
287	Garrett (AlliedSignal)	TFE731-60	"Falcon
  900DX/900EX/900LX"	5,000		0.405		187	22		3.9						2	1G	1C	4	1		3	30.7	72	42.4	988
288	GE	Affinity	Aerion AS2	18,000							3.1						2	2		9	1		2	52			
289	GE	CF6-6	DC-10-10 (option)	39,300				1343	26.6	1.64	6.2						2	1	1B	16	2		5		172.5	92	7,350
290	GE	CF6-6D	DC-10-10/-10F/-10F(CF)	39,300		0.354		1303	24.3		5.72	9,080	0.646	0.8	35,000		2	1	1B	16	2		5	86.4	188.0**	105	7,896
291	GE	CF6-6D1	DC-10-10/-10F/-10F(AF)	40,300		0.35		1328	25.2		5.76	9,220	0.646	0.8	35,000		2	1	1B	16	2		5	86.4	188.0**	105	7,896
292	GE	CF6-6D1A	DC-10-10/-10F/-10F(AF)	40,900		0.35		1328	25.2		5.76	9,220	0.646	0.8	35,000		2	1	1B	16	2		5	86.4	188.0**	105	7,896
293	GE	CF6-6E	"DC-10-10/-10F
  (option)"	40,600													2	1	1B	16	2		5	86.4			
294	GE	CF6-6F	"DC-10-10/-10F
  (option)"	42,000													2	1	1B	16	2		5	86.4			
295	GE	CF6-6K	DC-10-10/-10F	39,300		0.346			25								2	1	1B	16	2		5	86.4	188.0**	105	8,176
296	GE	CF6-6K2	"DC-10-10/-10F
  (option)"	40,900		0.346			25								2	1	1B	16	2		5	86.4	188.0**	105	8,176
297	GE	CF6-32	757 (proposed)																								
298	GE	CF6-45A	747-100SR/-100SR(SF)	45,600				1393	26.3		4.64	11,250	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	188.0**	105	8,768
299	GE	CF6-45A2	747-100SR/-100SR(SF)	45,600				1393	26.3		4.64	11,250	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	188.0**	105	8,768
300	GE	CF6-45B	747-100SR/-100SR(SF)	46,500				1393	26.3		4.64	11,250	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	188.0**	105	8,768
301	GE	CF6-45B2	747-100SR/-100SR(SF), A300B10 (A310) (candidate engine)	46,500				1393	26.3		4.64	11,250	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	188.0**	105	8,768
302	GE	CF6-50	DC-10-30/-30F	49,000									0.645	0.8	35,000		2	1	3B	14	2		4	92			8,100
303	GE	CF6-50A	"DC-10-30/-30F,
  A300B1"	48,400		0.389		1444	28.6	1.69	4.4		0.654	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	92	8,201
304	GE	CF6-50B		49,000		0.389		1444	28.6	1.69	4.4		0.654	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	92	8,201
305	GE	CF6-50C	"A300B2-1A/-1C/-101,
  A300B4-1C, DC-10-30/-30CF/-30F"	50,400		0.394		1451	29.3		4.26	11,100	0.657	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,721
306	GE	CF6-50C1	"DC-10-30,
  A300B2-202, A300B4-103"	51,800		0.371		1470	30.1		4.24	11,555	0.657	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,721
307	GE	CF6-50C2	"A300B2-203,
  A300B4-2C/-203/-203F, A300C4-203, A300F4-203, DC-10-30/-30F/-30F(CF), A300B1 (option)"	52,500		0.371		1476	30.4		4.31	11,555	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,731
308	GE	CF6-50C2B	DC-10-30/-30ER	53,200		0.385		1504	31.1		4.25	11,555	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,731
309	GE	CF6-50C2D		51,800													2	1	3B	14	2		4	86.4	183.0**	105	8,731
310	GE	CF6-50C2F	DC-10-15	46,500				1393	26.3		4.64	11,555	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,731
311	GE	CF6-50C2R	"A300B2-1C/-101,
  A300B2K-3C, A300B4-2C, DC-10-30"	51,500		0.368			29.2								2	1	3B	14	2		4	86.4	183.0**	105	8,731
312	GE	CF6-50D	DC-10-10	51,000													2	1	3B	14	2		4	86.4	183.0**	105	8,325
313	GE	CF6-50D1	"(see military
  turbofan specifications)"																								
314	GE	CF6-50E	747-200B	51,800		0.376		1470	30.1		4.24	11,555	0.657	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,490
315	GE	CF6-50E1	747-200B	51,800		0.371		1470	30.1		4.24	11,555	0.657	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,490
316	GE	CF6-50E2	747-200B/-200B(M)/-200B(SF)/-200C(M)/-200F/-300/-300(M)/-300(SF)	51,800		0.371		1476	30.4		4.31	11,555	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,768
317	GE	CF6-50E2B	"747-200/-300
  (option)"	53,200		0.375		1504	30.9		4.24	11,730	0.63	0.8	35,000		2	1	3B	14	2		4	86.4	183.0**	105	8,768
318	GE	CF6-80A	767-200/-200ER/-200PC	46,930		0.344		1435	27.3		4.66	11,045	0.623	0.8	35,000		2	1	3B	14	2		4	86.4	157.4	98	8,496
319	GE	CF6-80A1	"767-200/-200ER
  (option)"	46,990		0.344		1435	27.3		4.66	11,045	0.623	0.8	35,000		2	1	3B	14	2		4	86.4	157.4	98	8,420
320	GE	CF6-80A2	767-200/-200ER/-300	48,670		0.349		1460	28.4	1.7	4.59	11,045	0.623	0.8	35,000		2	1	3B	14	2		4	86.4	157.4	98	8,496
321	GE	CF6-80A3	A310-203/-203C/-203F	48,970		0.357		1460	28.4	1.7	4.59	11,045	0.623	0.8	35,000		2	1	3B	14	2		4	86.4	157.4	98	8,420
322	GE	CF6-80C2	"767-200ER/-300
  (option)"	52,500		0.329		1769	30.4		5.2	11,330		0.85	35,000		2	1	4B	14	2		5	93	160.9		9,135
323	GE	CF6-80C2A1	A300B4-601	57,860		0.334		1754	30.4		5.15	11,810	0.576	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,360
324	GE	CF6-80C2A2	A310-204/-304/-304ET/-304F	52,460		0.317		1769	30.4	1.66	5.05	11,330	0.578	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,360
325	GE	CF6-80C2A3	A300B4-603, MD-11 (option)	58,950		0.329		1769	30.4	1.73	5.05	11,340	0.576	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,360
326	GE	CF6-80C2A5	"A300B4-605R,
  A300C4-605R, A300F4-605R"	60,100		0.34			31.5		5.05						2	1	4B	14	2		5	93	160.9	106	9,389
327	GE	CF6-80C2A5F	"A300B4-605R,
  A300C4-605R, A300F4-605R"	60,100		0.34			31.5		5.05						2	1	4B	14	2		5	93	160.9	106	9,389
328	GE	CF6-80C2A6		64,000													2	1	4B	14	2		5				
329	GE	CF6-80C2A6F		63,000													2	1	4B	14	2		5				
330	GE	CF6-80C2A7	A310-308, A310-308ET (option)	59,000													2	1	4B	14	2		5	93	160.9	106	9,389
331	GE	CF6-80C2A8	"A300B4-608ST,
  A310-308/-308ET"	57,860		0.344		1769	30.4		5.05						2	1	4B	14	2		5	93	160.9	106	9,389
332	GE	CF6-80C2B1	747-300/-300(M)	55,980		0.323		1710	30.4		5.19	12,820	0.576	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,388
333	GE	CF6-80C2B1F	747-400/-400D/-400ER/-400(M)/-400F	57,160		0.316		1764	30.4		5.15	12,820	0.564	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,499
334	GE	CF6-80C2B1F1		60,030													2	1	4B	14	2		5	93	160.9	106	9499
335	GE	CF6-80C2B1F2	747-400/-400D/-400ER/-400(M)/-400F	60,030													2	1	4B	14	2		5	93	160.9	106	9,499
336	GE	CF6-80C2B2	767-200ER/-300/-300ER, 737-200 (option)	51,590		0.318		1650	30.4		5.31	12,000	0.576	0.8	35,000		2	1	4B	14	2		5	93	160.9	106	9,388
337	GE	CF6-80C2B2F	767-200/-200ER/-300, 767-300ER (option)	52,010													2	1	4B	14	2		5	93	160.9	106	9,499
338	GE	CF6-80C2B2F2	767-200/-200ER/-300, 767-300ER (option)														2	1	4B	14	2		5	93	160.9	106	9,499
339	GE	CF6-80C2B3	"747-300/-400
  (option)"	52,010													2	1	4B	14	2		5	93	160.9	106	9,388
340	GE	CF6-80C2B3F	"747-300/-400
  (option)"	52,010													2	1	4B	14	2		5	93	160.9	106	9,499
341	GE	CF6-80C2B4	767-200ER/-300/-300ER	57,180		0.326			29.9		5.15						2	1	4B	14	2		5	93	160.9	106	9,399
342	GE	CF6-80C2B4F	767-200ER/-300/-300ER	57,280		0.317			29.9		5.14						2	1	4B	14	2		5	93	160.9	106	9,760
343	GE	CF6-80C2B5F	747-400/-400ER/-400F/-400FER	60,030		0.323			31.4								2	1	4B	14	2		5	93	160.9	106	9,760
344	GE	CF6-80C2B6	767-300/-300ER, 767-200ER (option), An-218-200/-300 (proposed)	60,070		0.334			31.1		5.06						2	1	4B	14	2		5	93	160.9	106	9,670
345	GE	CF6-80C2B6F	767-300ER, 767-200ER (option)	60,030		0.323			31.4		5.06						2	1	4B	14	2		5	93	160.9	106	9,760
346	GE	CF6-80C2B6FA	767-200ER	60,030		0.323			31.4								2	1	4B	14	2		5	93	160.9	106	9,760
347	GE	CF6-80C2B7F	767-300ER/-300F, 767-200ER (option)	60,030		0.323			31.4								2	1	4B	14	2		5	93	160.9	106	9,760
348	GE	CF6-80C2B8F	767-400ER/-400FER	60,030					31.4								2	1	4B	14	2		5	93	160.9	106	9,970
349	GE	CF6-80C2B9F	747-400XQLR/-XQLRF	63,300					31.4								2	1	4B	14	2		5	93	160.9	106	
350	GE	CF6-80C2B10F	747-XQLRF						31.4								2	1	4B	14	2		5	93	160.9	106	
351	GE	CF6-80C2D1F	MD-11/-11F/-11F(AF)/-11F(C)	60,690		0.322			31.8		5.03						2	1	4B	14	2		5	93	160.9	106	9,850
352	GE	CF6-80C2G2	"767-400ERX, 747-400X
  (not produced)"														2	1	4B	14	2		5	93	160.9	106	
353	GE	CF6-80C2L1F	"(see military
  turbofan specifications)"	51250																							
354	GE	CF6-80E1	"A330-200/-300
  (option)"	65,500		0.329		1913	32		5.3						2	1	4B	14	2		4		164.3	114	11,162
355	GE	CF6-80E1A1	"A330-200/-300
  (option)"	63,290					32		5.3						2	1	4B	14	2		5		164.3	114	11,162
356	GE	CF6-80E1A2	A330-201/-301	64,530					32.6		5.3						2	1	4B	14	2		5		164.3	114	11,162
357	GE	CF6-80E1A3	A330-203/-303	68,530					33.7		5						2	1	4B	14	2		5		171	114	10,726
358	GE	CF6-80E1A4	A330-202/-302, KR-860 (not produced)	66,870		0.338			33.7		5						2	1	4B	14	2		5		171	114	10,726
359	GE	CF6-80E1A4/B	A330-202/-302	68,530					33.7		5						2	1	4B	14	2		5		171	114	10,726
360	GE	CF34-1A	Challenger 601-1A	9,140		0.36					6.2						2	1		14	2		4	44	103.2	49.6	1,625
361	GE	CF34-3A	Challenger 601-3A	9,220		0.357		332	21		6.3						2	1		14	2		4	44	103.2	49.6	1,625
362	GE	CF34-3A1	"CRJ100ER/CRJ100LR,
  Challenger 601-3R"	9,220		0.357		332	21		6.3						2	1		14	2		4	44	103.2	49.6	1,655
363	GE	CF34-3A2	Challenger 601-3A/ER	9,220		0.357		332	21		6.3						2	1		14	2		4	44	103.2	49.6	1,625
364	GE	CF34-3B	"Challenger
  604/605/650"	9,220		0.346			21		6.3						2	1		14	2		4	44	103.2	49.6	1,670
365	GE	CF34-3B1	"CRJ200ER/200LR,
  CRJ440ER/LR, Challenger 800/850"	9,220		0.346			21		6.3						2	1		14	2		4	44	103.2	49.6	1,670
366	GE	CF34-8C1	CRJ701/-701ER	13,790		0.37			27		4.9						2	1		10	2		4	46.2	152.3	60.7	2,704
367	GE	CF34-8C5	"CRJ550,
  CRJ705/-705ER, CRJ900/900ER, CRJ900 NextGen"	14,510		0.39					4.9						2	1		10	2		4	46.2	151.6	60.7	2,780
368	GE	CF34-8C5A1	CRJ1000 NextGen	14,510													2	1		10	2		4	46.2	151.6	60.7	2,780
369	GE	CF34-8C5A2		14,510													2	1		10	2		4	46.2	151.6	60.7	2,780
370	GE	CF34-8C5A3		14,510													2	1		10	2		4	46.2	151.6	60.7	2,780
371	GE	CF34-8C5B1	CRJ700 NextGen	13,790													2	1		10	2		4	46.2	151.6	60.7	2,780
372	GE	CF34-8D??	"SL-200/-300 (not
  produced)"														2	1		10	2		4	46.2	121.2	62.7	3,148
373	GE	CF34-8D1	"728-100, 528-100
  (not produced)"	13,830		0.39											2	1		10	2		4	46.2	121.2	62.7	3,148
374	GE	CF34-8D3	"728-200 (not
  produced)"	14,240		0.39			27		4.9						2	1		10	2		4	46.2	121.2	62.7	3,148
375	GE	CF34-8D5		14,470		0.39											2	1		10	2		4	46.2	121.2	62.7	3,148
376	GE	CF34-8D6	"Envoy 7 (not
  produced)"	14,470		0.39											2	1		10	2		4	46.2	121.2	62.7	3,148
377	GE	CF34-8E2	"E170/170LR,
  E175/175LR"	13,300		0.39											2	1		10	2		4	46.2	121.2	62.7	3,148
378	GE	CF34-8E2A1		13,300													2	1		10	2		4	46.2	121.2	62.7	3,148
379	GE	CF34-8E5	"E170/170LR,
  E175/175LR"	14,510													2	1		10	2		4	46.2	121.2	62.7	3,148
380	GE	CF34-8E5A1	"E170/170LR,
  E175/175LR"	14,510													2	1		10	2		4	46.2	121.2	62.7	3,148
381	GE	CF34-8E5A2		14,510													2	1		10	2		4	46.2	121.2	62.7	3,148
382	GE	CF34-8E5A3															2	1		10	2		4	46.2	121.2	62.7	3,148
383	GE	CF34-8E6		14,050													2	1		10	2		4	46.2	121.2	62.7	3,148
384	GE	CF34-8E6A1		14,050													2	1		10	2		4	46.2	121.2	62.7	3,148
385	GE	CF34-8E??	"RRJ (candidate
  engine)"														2	1		10	2		4	46.2	121.2	62.7	3,148
386	GE	CF34-10A	ARJ21-700/-900	18,000													2	1	3B	9	1		4				
387	GE	CF34-10A16		17,640													2	1	3B	9	1		4		158.6	79.3	4,644
388	GE	CF34-10D5	"928-100 (not
  produced)"	17,355		0.38			29		5						2	1	3B	9	1		4		90	57	3,800
389	GE	CF34-10D6	"928-200 (not
  produced)"	18,750		0.38			29		5						2	1	3B	9	1		4		90	57	3,800
390	GE	CF34-10E2A1		16,960													2	1	3B	9	1		4		177.93	86.59	4,584
391	GE	CF34-10E5	"E190/190LR,
  E195/195LR"	18,820		0.38											2	1	3B	9	1		4		177.93	86.59	4,584
392	GE	CF34-10E5A1	"E190/190LR/190SR,
  E195/195LR"	18,820		0.38											2	1	3B	9	1		4		177.93	86.59	4,584
393	GE	CF34-10E6	"E190/190LR,
  E195/195LR"	18,820													2	1	3B	9	1		4		177.93	86.59	4,584
394	GE	CF34-10E6A1	"E190/190LR,
  E195/195LR"	18,820													2	1	3B	9	1		4		177.93	86.59	4,584
395	GE	CF34-10E7	"E190/190LR/190SR,
  E195/195LR"	20,360													2	1	3B	9	1		4		177.93	86.59	4,584
396	GE	CF34-10E7-B	Lineage 1000	20,360													2	1	3B	9	1		4		177.93	86.59	4,584
397	GE	CF700-2B	Falcon 20					84			1.9						2	1 aft		8	2		1		53.6	33.2	
398	GE	CF700-2C	Falcon 20C	4,200		0.652		84	6.9		1.9						2	1 aft		8	2		1		53.6	33.1	765
399	GE	CF700-2D	"Mystere 20, Falcon
  20D"	4,325		0.652		84	6.2		1.9						2	1 aft		8	2		1		53.6	33.1	799
400	GE	CF700-2D2	"Falcon 20E/F,
  Sabreliner 75A/80A"	4,500		0.643		84	6.9		1.9						2	1 aft		8	2		1		53.6	33.1	829
401	GE	CJ610-1	"Learjet 23, HFB 320,
  1121A Commdore"	2,850		0.99		44									1			8	2				50.4	17.6	403
402	GE	CJ610-2B	HFB 320	2,400													1			8	2				51.1	17.7	399
403	GE	CJ610-4	"Learjet 23/24A,
  ViperJet"	2,850		0.99		44									1			8	2				50.4	17.6	393
404	GE	CJ610-5	"HFB 320, 1121B/1122
  Commodore"	2,950		0.98		44	6.8								1			8	2				50.4	17.6	406
405	GE	CJ610-6	Learjet 24B/D, Learjet 24C (not produced)	2,950		0.98		44	6.8								1			8	2				50.4	17.6	418
406	GE	CJ610-8	HFB 320	3,100				44									1			8	2				40.5	17.6	411
407	GE	CJ610-8A	"Learjet
  24E/F/25B/25C/25D/28/29"	2,950				44									1			8	2				40.5	17.6	433
408	GE	CJ610-9	"HFB 320, 1123
  Commodore"	3,100		1		44	6.8								1			8	2				40.5	17.6	421
409	GE	CJ805-3	Convair CV-880	11,200													2	1 aft		17	3		1		110.4	48.8	2,850
410	GE	CJ805-3A	Convair CV-880-22	11,200													2	1 aft		17	3		1		110.4	48.8	2,850
411	GE	CJ805-3B	Convair CV-880-22M	11,650													2	1 aft		17	3		1		110.4	48.8	2,875
412	GE	CJ805-11															2	1 aft		17	3		1				
413	GE	CJ805-13															2	1 aft		17	3		1				
414	GE	CJ805-23		15,850													2	1 aft		17	3		1		130.6	56	3,810
415	GE	CJ805-23A		15,850													2	1 aft		17	3		1		130.6	56	3,810
416	GE	CJ805-23B	Convair CV-990/-990A	16,100		0.53		171	13								2	1 aft		17	3		1		130.6	56	3,810
417	GE	CJ805-23C	Caravelle 7/10A	16,100													2	1 aft		17	3		1		130.6	56	3,810
418	GE	GE1	"Technology
  demonstrator"	5,000		0.7		77	11								1			14	2						
419	GE	GE4/F6A		27,200	45,000			550	11	2.2	1.1																7,670
420	GE	GE4/J4C		38,900	58,100			475	9.5																		8,351
421	GE	GE4/J5P	"B-2707-200/-300 (not
  produced)"	50,000	63,200	1.04	1.86	646	12.5							1497	1			9	2				308	89.5	11,300
422	GE	GE39	"Technology
  demonstrator"														2	2 UDF									
423	GE	GE90-76B	777-200	81,070					39.3	1.65	8.4	17,500	0.545	0.83	35,000		2	1	3B	10	2		6	123	286.9	155.6	17,400
424	GE	GE90-77B	777-200	81,700					39.3	1.65	8.4						2	1	3B	10	2		6	123	286.9	155.6	17,400
425	GE	GE90-85B	777-200	88,870					39.3	1.65	8.4	17,500	0.52	0.83	35,000		2	1	3B	10	2		6	123	286.9	155.6	17,400
426	GE	GE90-90B	777-200	94,000					40	1.65	8.4						2	1	3B	10	2		6	123	286.9	155.6	17,400
427	GE	GE90-92B	777-200 (option)	92,000					40	1.65	8.3						2	1	3B	10	2		6	123	286.9	155.6	17,400
428	GE	GE90-94B	777-200	97,300					40	1.65							2	1	3B	10	2		6	123	286.9	155.6	17,400
429	GE	GE90-110B1	777-200LR/777F, 777-300ER (option)	110,760													2	1	??	??	??		??	123	286.9	155.6	19,316
430	GE	GE90-113B		113,530													2	1	??	??	??		??	123	286.9	155.6	19,316
431	GE	GE90-115B	777-200LR/-300ER/777F	115,540					42								2	1	4B	9	2		6	123	286.9	155.6	19,316
432	GE	GE9X-105B1A	777-8/-9/-10X	105,000					60		10						2	1	3	11	2		6	134			
433	GE	GEnx-1B54	787-3 (proposed)	57,400													2	1	4	10	2		7		194.9	139.1	13,552
